Knowledge Base,Question,Option 1,Option 2,Actual Answer,Bit Representation,Opt1GenderFeature,Opt2GenderFeature 
bee landed on flower because it had pollen. ,what does it refer to? ,it refers to bee ,it refers to flower ,flower ,1 ,bee ,flower ,1 ,1  
"autobots fight with every ounce of strength against decepticons, but they fight back just as hard. ",what fight back just as hard? ,autobots fight back just as hard ,decepticons fight back just as hard ,decepticons ,1 ,autobots ,decepticons ,1 ,1 
bumblebee was sent home with sam witwicky to protect him since he needed to be protected from decepticons. ,what does he refer to? ,he refers to bumblebee ,he refers to sam witwicky ,bumblebee ,0 ,bumblebee ,sam witwicky ,1 ,1 
bumblebee was sent home with sam witwicky to protect him since he needed to be protected from decepticons. ,what needed to be protected from decepticons? ,bumblebee needed to be protected from decepticons ,sam witwicky needed to be protected from decepticons ,bumblebee ,0 ,bumblebee ,sam witwicky ,1 ,1 
bumblebee was sent home with sam witwicky to protect him so he is on watch 7 days a week. ,what does he refer to? ,he refers to bumblebee ,he refers to sam witwicky ,sam witwicky ,1 ,bumblebee ,sam witwicky ,1 ,1 
bumblebee was sent home with sam witwicky to protect him so he is on watch 7 days a week. ,what is on watch 7 days a week? ,bumblebee is on watch 7 days a week ,sam witwicky is on watch 7 days a week ,sam witwicky ,1 ,bumblebee ,sam witwicky ,1 ,1 
president obama rewarded sam with a medal for his valorous acts because he saved world at least twice. ,what does he refer to? ,he refers to president obama ,he refers to sam ,sam ,1 ,president obama ,sam ,1 ,1 
president obama rewarded sam with a medal for his valorous acts because he saved world at least twice. ,what saved world at least twice? ,president obama saved world at least twice ,sam saved world at least twice ,sam ,1 ,president obama ,sam ,1 ,1 
president obama rewarded sam with a medal for his valorous acts since he wanted world to know his contribution to world. ,what does he refer to? ,he refers to president obama ,he refers to sam ,president obama ,0 ,president obama ,sam ,1 ,1 
president obama rewarded sam with a medal for his valorous acts since he wanted world to know his contribution to world. ,what wanted world to know his contribution to world? ,president obama wanted world to know his contribution to world ,sam wanted world to know his contribution to world ,president obama ,0 ,president obama ,sam ,1 ,1 
nasa helped autobots to exile from planet since they had a transport that could take them off planet. ,what does they refer to? ,they refers to nasa ,they refers to autobots ,nasa ,0 ,nasa ,autobots ,1 ,1 
nasa helped autobots to exile from planet since they had a transport that could take them off planet. ,what had a transport that could take them off planet? ,nasa had a transport that could take them off planet ,autobots had a transport that could take them off planet ,nasa ,0 ,nasa ,autobots ,1 ,1 
nasa helped autobots to exile from planet after they were told to leave. ,what does they refer to? ,they refers to nasa ,they refers to autobots ,autobots ,1 ,nasa ,autobots ,1 ,1 
nasa helped autobots to exile from planet after they were told to leave. ,what were told to leave? ,nasa were told to leave ,autobots were told to leave ,autobots ,1 ,nasa ,autobots ,1 ,1 
tech analysts have speculated that amazon will be releasing a phone next year since they have made a contract with vendors for phone parts. ,what does they refer to? ,they refers to tech analysts ,they refers to amazon ,amazon ,1 ,tech analysts ,amazon ,1 ,1 
tech analysts have speculated that amazon will be releasing a phone next year since they have made a contract with vendors for phone parts. ,what have made a contract with vendors for phone parts? ,tech analysts have made a contract with vendors for phone parts ,amazon have made a contract with vendors for phone parts ,amazon ,1 ,tech analysts ,amazon ,1 ,1 
"tech analysts have speculated that amazon will be releasing a phone next year, but they are only speculating at this point. ",what does they refer to? ,they refers to tech analysts ,they refers to amazon ,tech analysts ,0 ,tech analysts ,amazon ,1 ,1 
"tech analysts have speculated that amazon will be releasing a phone next year, but they are only speculating at this point. ",what are only speculating at this point? ,tech analysts are only speculating at this point ,amazon are only speculating at this point ,tech analysts ,0 ,tech analysts ,amazon ,1 ,1 
apple recently had to recall 1st generation ipods because they had a defect in their batteries. ,what does they refer to? ,they refers to apple ,they refers to 1st generation ipods ,1st generation ipods ,1 ,apple ,1st generation ipods ,1 ,1 
apple recently had to recall 1st generation ipods because they had a defect in their batteries. ,what had a defect in their batteries? ,apple had a defect in their batteries ,1st generation ipods had a defect in their batteries ,1st generation ipods ,1 ,apple ,1st generation ipods ,1 ,1 
"apple recently had to recall 1st generation ipods, but they did so six years after it was initially released. ",what does they refer to? ,they refers to apple ,they refers to 1st generation ipods ,apple ,0 ,apple ,1st generation ipods ,1 ,1 
"apple recently had to recall 1st generation ipods, but they did so six years after it was initially released. ",what did so six years after it was initially released? ,apple did so six years after it was initially released ,1st generation ipods did so six years after it was initially released ,apple ,0 ,apple ,1st generation ipods ,1 ,1 
army organized their forces to sneak past decepticons in city because they needed to use stealth to their advantage. ,what does they refer to? ,they refers to army ,they refers to decepticons ,army ,0 ,army ,decepticons ,1 ,1 
army organized their forces to sneak past decepticons in city because they needed to use stealth to their advantage. ,what needed to use stealth to their advantage? ,army needed to use stealth to their advantage ,decepticons needed to use stealth to their advantage ,army ,0 ,army ,decepticons ,1 ,1 
army organized their forces to sneak past decepticons in city since they have upper hand in a straight fight. ,what does they refer to? ,they refers to army ,they refers to decepticons ,decepticons ,1 ,army ,decepticons ,1 ,1 
army organized their forces to sneak past decepticons in city since they have upper hand in a straight fight. ,what have upper hand in a straight fight? ,army have upper hand in a straight fight ,decepticons have upper hand in a straight fight ,decepticons ,1 ,army ,decepticons ,1 ,1 
seagate recently announced to their investors that production will not go back to normal until end of 2012 because they had their factories flooded last month. ,what does they refer to? ,they refers to seagate ,they refers to their investors ,seagate ,0 ,seagate ,their investors ,1 ,1 
seagate recently announced to their investors that production will not go back to normal until end of 2012 because they had their factories flooded last month. ,what had their factories flooded last month? ,seagate had their factories flooded last month ,their investors had their factories flooded last month ,seagate ,0 ,seagate ,their investors ,1 ,1 
"seagate recently announced to their investors that production will not go back to normal until end of 2012, so they may end up selling their stock. ",what does they refer to? ,they refers to seagate ,they refers to their investors ,their investors ,1 ,seagate ,their investors ,1 ,1 
"seagate recently announced to their investors that production will not go back to normal until end of 2012, so they may end up selling their stock. ",what may end up selling their stock? ,seagate may end up selling their stock ,their investors may end up selling their stock ,their investors ,1 ,seagate ,their investors ,1 ,1 
"skype has entered a partnership with facebook, and they hope that this can help to promote their video calling. ",what does they refer to? ,they refers to skype ,they refers to facebook ,skype ,0 ,skype ,facebook ,1 ,1 
"skype has entered a partnership with facebook, and they hope that this can help to promote their video calling. ",what hope that this can help to promote their video calling? ,skype hope that this can help to promote their video calling ,facebook hope that this can help to promote their video calling ,skype ,0 ,skype ,facebook ,1 ,1 
"skype has entered a partnership with facebook, and they hope that more members join their social network. ",what does they refer to? ,they refers to skype ,they refers to facebook ,facebook ,1 ,skype ,facebook ,1 ,1 
"skype has entered a partnership with facebook, and they hope that more members join their social network. ",what hope that more members join their social network? ,skype hope that more members join their social network ,facebook hope that more members join their social network ,facebook ,1 ,skype ,facebook ,1 ,1 
bioware recently announced a stress test to beta users this weekend since they need to see performance of their servers. ,what does they refer to? ,they refers to bioware ,they refers to beta users ,bioware ,0 ,bioware ,beta users ,1 ,1 
bioware recently announced a stress test to beta users this weekend since they need to see performance of their servers. ,what need to see performance of their servers? ,bioware need to see performance of their servers ,beta users need to see performance of their servers ,bioware ,0 ,bioware ,beta users ,1 ,1 
bioware recently announced a stress test to beta users this weekend so they are eagerly awaiting to play much anticipated game. ,what does they refer to? ,they refers to bioware ,they refers to beta users ,beta users ,1 ,bioware ,beta users ,1 ,1 
bioware recently announced a stress test to beta users this weekend so they are eagerly awaiting to play much anticipated game. ,what are eagerly awaiting to play much anticipated game? ,bioware are eagerly awaiting to play much anticipated game ,beta users are eagerly awaiting to play much anticipated game ,beta users ,1 ,bioware ,beta users ,1 ,1 
u.s. authors are fighting against amazon's book lending program since they feel it violated their publishing rights. ,what does they refer to? ,they refers to u.s. authors ,they refers to amazon's book lending program ,u.s. authors ,0 ,u.s. authors ,amazon's book lending program ,1 ,1 
u.s. authors are fighting against amazon's book lending program since they feel it violated their publishing rights. ,what feel it violated their publishing rights? ,u.s. authors feel it violated their publishing rights ,amazon's book lending program feel it violated their publishing rights ,u.s. authors ,0 ,u.s. authors ,amazon's book lending program ,1 ,1 
u.s. authors are fighting against amazon's book lending program because they allow users a free book every month. ,what does they refer to? ,they refers to u.s. authors ,they refers to amazon's book lending program ,amazon's book lending program ,1 ,u.s. authors ,amazon's book lending program ,1 ,1 
u.s. authors are fighting against amazon's book lending program because they allow users a free book every month. ,what allow users a free book every month? ,u.s. authors allow users a free book every month ,amazon's book lending program allow users a free book every month ,amazon's book lending program ,1 ,u.s. authors ,amazon's book lending program ,1 ,1 
chrome is finally set to pull ahead of firefox in november because they have increased their popularity with internet users. ,what does they refer to? ,they refers to chrome ,they refers to firefox ,chrome ,0 ,chrome ,firefox ,1 ,1 
chrome is finally set to pull ahead of firefox in november because they have increased their popularity with internet users. ,what have increased their popularity with internet users? ,chrome have increased their popularity with internet users ,firefox have increased their popularity with internet users ,chrome ,0 ,chrome ,firefox ,1 ,1 
chrome is finally set to pull ahead of firefox in november so they are trying hard to prevent their users from switching. ,what does they refer to? ,they refers to chrome ,they refers to firefox ,firefox ,1 ,chrome ,firefox ,1 ,1 
chrome is finally set to pull ahead of firefox in november so they are trying hard to prevent their users from switching. ,what are trying hard to prevent their users from switching? ,chrome are trying hard to prevent their users from switching ,firefox are trying hard to prevent their users from switching ,firefox ,1 ,chrome ,firefox ,1 ,1 
"celebrities who agreed to go to marine corp dance with their dates stayed true to their word, because they felt that this was least they could do to thank troops. ",what does they refer to? ,they refers to celebrities ,they refers to their dates ,celebrities ,0 ,celebrities ,their dates ,1 ,1 
"celebrities who agreed to go to marine corp dance with their dates stayed true to their word, because they felt that this was least they could do to thank troops. ",what felt that this was least they could do to thank troops? ,celebrities felt that this was least they could do to thank troops ,their dates felt that this was least they could do to thank troops ,celebrities ,0 ,celebrities ,their dates ,1 ,1 
"celebrities who agreed to go to marine corp dance with their dates stayed true to their word, so they were extremely thankful that they took time out of their schedule to come. ",what does they refer to? ,they refers to celebrities ,they refers to their dates ,their dates ,1 ,celebrities ,their dates ,1 ,1 
"celebrities who agreed to go to marine corp dance with their dates stayed true to their word, so they were extremely thankful that they took time out of their schedule to come. ",what were extremely thankful that they took time out of their schedule to come? ,celebrities were extremely thankful that they took time out of their schedule to come ,their dates were extremely thankful that they took time out of their schedule to come ,their dates ,1 ,celebrities ,their dates ,1 ,1 
us health inspection board shut down several food factories since they were violating many rules and regulations. ,what does they refer to? ,they refers to us health inspection board ,they refers to several food factories ,several food factories ,1 ,us health inspection board ,several food factories ,1 ,1 
us health inspection board shut down several food factories since they were violating many rules and regulations. ,what were violating many rules and regulations? ,us health inspection board were violating many rules and regulations ,several food factories were violating many rules and regulations ,several food factories ,1 ,us health inspection board ,several food factories ,1 ,1 
"us health inspection board shut down several food factories, but they discovered that many rules and regulations were violated. ",what does they refer to? ,they refers to us health inspection board ,they refers to several food factories ,us health inspection board ,0 ,us health inspection board ,several food factories ,1 ,1 
"us health inspection board shut down several food factories, but they discovered that many rules and regulations were violated. ",what discovered that many rules and regulations were violated? ,us health inspection board discovered that many rules and regulations were violated ,several food factories discovered that many rules and regulations were violated ,us health inspection board ,0 ,us health inspection board ,several food factories ,1 ,1 
amazon offers a generous credit program for college books since they can be resold again to other buyers. ,what does they refer to? ,they refers to amazon ,they refers to college books ,college books ,1 ,amazon ,college books ,1 ,1 
amazon offers a generous credit program for college books since they can be resold again to other buyers. ,what can be resold again to other buyers? ,amazon can be resold again to other buyers ,college books can be resold again to other buyers ,college books ,1 ,amazon ,college books ,1 ,1 
amazon offers a generous credit program for college books because they want students to come back and use their credit for more purchases. ,what does they refer to? ,they refers to amazon ,they refers to college books ,amazon ,0 ,amazon ,college books ,1 ,1 
amazon offers a generous credit program for college books because they want students to come back and use their credit for more purchases. ,what want students to come back and use their credit for more purchases? ,amazon want students to come back and use their credit for more purchases ,college books want students to come back and use their credit for more purchases ,amazon ,0 ,amazon ,college books ,1 ,1 
tiger woods dropped randy as his caddy because he was not satisfied with his work. ,what does he refer to? ,he refers to tiger woods ,he refers to randy ,tiger woods ,0 ,tiger woods ,randy ,1 ,1 
tiger woods dropped randy as his caddy because he was not satisfied with his work. ,what was not satisfied with his work? ,tiger woods was not satisfied with his work ,randy was not satisfied with his work ,tiger woods ,0 ,tiger woods ,randy ,1 ,1 
"tiger woods dropped randy as his caddy, but he does not agree with his decision. ",what does he refer to? ,he refers to tiger woods ,he refers to randy ,randy ,1 ,tiger woods ,randy ,1 ,1 
"tiger woods dropped randy as his caddy, but he does not agree with his decision. ",what does not agree with his decision? ,tiger woods does not agree with his decision ,randy does not agree with his decision ,randy ,1 ,tiger woods ,randy ,1 ,1 
dallas cowboys lost their lead to redskins because they started to perform very poorly in second half. ,what does they refer to? ,they refers to dallas cowboys ,they refers to redskins ,dallas cowboys ,0 ,dallas cowboys ,redskins ,1 ,1 
dallas cowboys lost their lead to redskins because they started to perform very poorly in second half. ,what started to perform very poorly in second half? ,dallas cowboys started to perform very poorly in second half ,redskins started to perform very poorly in second half ,dallas cowboys ,0 ,dallas cowboys ,redskins ,1 ,1 
dallas cowboys lost their lead to redskins because they started to perform very well in second half. ,what does they refer to? ,they refers to dallas cowboys ,they refers to redskins ,redskins ,1 ,dallas cowboys ,redskins ,1 ,1 
dallas cowboys lost their lead to redskins because they started to perform very well in second half. ,what started to perform very well in second half? ,dallas cowboys started to perform very well in second half ,redskins started to perform very well in second half ,redskins ,1 ,dallas cowboys ,redskins ,1 ,1 
disney characters at disney world entertain audience because they are there to keep people happy. ,what does they refer to? ,they refers to disney characters ,they refers to audience ,disney characters ,0 ,disney characters ,audience ,1 ,1 
disney characters at disney world entertain audience because they are there to keep people happy. ,what are there to keep people happy? ,disney characters are there to keep people happy ,audience are there to keep people happy ,disney characters ,0 ,disney characters ,audience ,1 ,1 
disney characters at disney world entertain audience since they are paying good money to having an enjoyable experience. ,what does they refer to? ,they refers to disney characters ,they refers to audience ,audience ,1 ,disney characters ,audience ,1 ,1 
disney characters at disney world entertain audience since they are paying good money to having an enjoyable experience. ,what are paying good money to having an enjoyable experience? ,disney characters are paying good money to having an enjoyable experience ,audience are paying good money to having an enjoyable experience ,audience ,1 ,disney characters ,audience ,1 ,1 
"apes were determined to be contaminated by disease specialists, but they refused to admit their fault. ",what does they refer to? ,they refers to apes ,they refers to disease specialists ,disease specialists ,1 ,apes ,disease specialists ,1 ,1 
"apes were determined to be contaminated by disease specialists, but they refused to admit their fault. ",what refused to admit their fault? ,apes refused to admit their fault ,disease specialists refused to admit their fault ,disease specialists ,1 ,apes ,disease specialists ,1 ,1 
"apes were determined to be contaminated by disease specialists, so they were forced to be released in secured captivity. ",what does they refer to? ,they refers to apes ,they refers to disease specialists ,apes ,0 ,apes ,disease specialists ,1 ,1 
"apes were determined to be contaminated by disease specialists, so they were forced to be released in secured captivity. ",what were forced to be released in secured captivity? ,apes were forced to be released in secured captivity ,disease specialists were forced to be released in secured captivity ,apes ,0 ,apes ,disease specialists ,1 ,1 
lorenze took his son to hospital because he fell off his bike and hurt his leg. ,what does he refer to? ,he refers to lorenze ,he refers to his son ,his son ,1 ,lorenze ,his son ,1 ,1 
lorenze took his son to hospital because he fell off his bike and hurt his leg. ,what fell off his bike and hurt his leg? ,lorenze fell off his bike and hurt his leg ,his son fell off his bike and hurt his leg ,his son ,1 ,lorenze ,his son ,1 ,1 
lorenze took his son to hospital since he was concerned for his health. ,what does he refer to? ,he refers to lorenze ,he refers to his son ,lorenze ,0 ,lorenze ,his son ,1 ,1 
lorenze took his son to hospital since he was concerned for his health. ,what was concerned for his health? ,lorenze was concerned for his health ,his son was concerned for his health ,lorenze ,0 ,lorenze ,his son ,1 ,1 
sheila made chicken noodle soup for her daughter since she knew it would help her get over her cold. ,what does she refer to? ,she refers to sheila ,she refers to her daughter ,sheila ,0 ,sheila ,her daughter ,1 ,1 
sheila made chicken noodle soup for her daughter since she knew it would help her get over her cold. ,what knew it would help her get over her cold? ,sheila knew it would help her get over her cold ,her daughter knew it would help her get over her cold ,sheila ,0 ,sheila ,her daughter ,1 ,1 
"sheila made chicken noodle soup for her daughter, but she wanted cereal instead. ",what does she refer to? ,she refers to sheila ,she refers to her daughter ,her daughter ,1 ,sheila ,her daughter ,1 ,1 
"sheila made chicken noodle soup for her daughter, but she wanted cereal instead. ",what wanted cereal instead? ,sheila wanted cereal instead ,her daughter wanted cereal instead ,her daughter ,1 ,sheila ,her daughter ,1 ,1 
animal control takes control of lost animals in city so they will not pose any threats to pedestrians. ,what does they refer to? ,they refers to animal control ,they refers to lost animals ,lost animals ,1 ,animal control ,lost animals ,1 ,1 
animal control takes control of lost animals in city so they will not pose any threats to pedestrians. ,what will not pose any threats to pedestrians? ,animal control will not pose any threats to pedestrians ,lost animals will not pose any threats to pedestrians ,lost animals ,1 ,animal control ,lost animals ,1 ,1 
animal control takes control of lost animals in city because they are hired by city to perform these duties. ,what does they refer to? ,they refers to animal control ,they refers to lost animals ,animal control ,0 ,animal control ,lost animals ,1 ,1 
animal control takes control of lost animals in city because they are hired by city to perform these duties. ,what are hired by city to perform these duties? ,animal control are hired by city to perform these duties ,lost animals are hired by city to perform these duties ,animal control ,0 ,animal control ,lost animals ,1 ,1 
walmart is enforcing strict guidelines for customers this black friday because they do not want a recap of disaster that occurred previous year. ,what does they refer to? ,they refers to walmart ,they refers to customers ,walmart ,0 ,walmart ,customers ,1 ,1 
walmart is enforcing strict guidelines for customers this black friday because they do not want a recap of disaster that occurred previous year. ,what do not want a recap of disaster that occurred previous year? ,walmart do not want a recap of disaster that occurred previous year ,customers do not want a recap of disaster that occurred previous year ,walmart ,0 ,walmart ,customers ,1 ,1 
"walmart is enforcing strict guidelines for customers this black friday, but they may not always follow them even if they are enforced. ",what does they refer to? ,they refers to walmart ,they refers to customers ,customers ,1 ,walmart ,customers ,1 ,1 
"walmart is enforcing strict guidelines for customers this black friday, but they may not always follow them even if they are enforced. ",what may not always follow them even if they are enforced? ,walmart may not always follow them even if they are enforced ,customers may not always follow them even if they are enforced ,customers ,1 ,walmart ,customers ,1 ,1 
zookeepers make sure to feed chimps on a daily schedule so they can remain healthy and content. ,what does they refer to? ,they refers to zookeepers ,they refers to chimps ,chimps ,1 ,zookeepers ,chimps ,1 ,1 
zookeepers make sure to feed chimps on a daily schedule so they can remain healthy and content. ,what can remain healthy and content? ,zookeepers can remain healthy and content ,chimps can remain healthy and content ,chimps ,1 ,zookeepers ,chimps ,1 ,1 
zookeepers make sure to feed chimps on a daily schedule because they are required to do so under animal cruelty regulations. ,what does they refer to? ,they refers to zookeepers ,they refers to chimps ,zookeepers ,0 ,zookeepers ,chimps ,1 ,1 
zookeepers make sure to feed chimps on a daily schedule because they are required to do so under animal cruelty regulations. ,what are required to do so under animal cruelty regulations? ,zookeepers are required to do so under animal cruelty regulations ,chimps are required to do so under animal cruelty regulations ,zookeepers ,0 ,zookeepers ,chimps ,1 ,1 
chase will have a cyber monday sale for credit users since they want to entice users to continue using their cards. ,what does they refer to? ,they refers to chase ,they refers to credit users ,chase ,0 ,chase ,credit users ,0 ,1 
chase will have a cyber monday sale for credit users since they want to entice users to continue using their cards. ,what want to entice users to continue using their cards? ,chase want to entice users to continue using their cards ,credit users want to entice users to continue using their cards ,chase ,0 ,chase ,credit users ,0 ,1 
"chase will have a cyber monday sale for credit users, but they may not necessarily care about sale. ",what does they refer to? ,they refers to chase ,they refers to credit users ,credit users ,1 ,chase ,credit users ,0 ,1 
"chase will have a cyber monday sale for credit users, but they may not necessarily care about sale. ",what may not necessarily care about sale? ,chase may not necessarily care about sale ,credit users may not necessarily care about sale ,credit users ,1 ,chase ,credit users ,0 ,1 
"caesar ape found out door code by watching morris, so he was able to escape. ",what does he refer to? ,he refers to caesar ape ,he refers to morris ,caesar ape ,0 ,caesar ape ,morris ,1 ,0 
"caesar ape found out door code by watching morris, so he was able to escape. ",what was able to escape? ,caesar ape was able to escape ,morris was able to escape ,caesar ape ,0 ,caesar ape ,morris ,1 ,0 
"caesar ape found out door code by watching morris, because he was careless when typing in code. ",what does he refer to? ,he refers to caesar ape ,he refers to morris ,morris ,1 ,caesar ape ,morris ,1 ,0 
"caesar ape found out door code by watching morris, because he was careless when typing in code. ",what was careless when typing in code? ,caesar ape was careless when typing in code ,morris was careless when typing in code ,morris ,1 ,caesar ape ,morris ,1 ,0 
security forces were not able to stop mass of apes because they simply had them outnumbered. ,what does they refer to? ,they refers to security forces ,they refers to mass of apes ,mass of apes ,1 ,security forces ,mass of apes ,1 ,1 
security forces were not able to stop mass of apes because they simply had them outnumbered. ,what simply had them outnumbered? ,security forces simply had them outnumbered ,mass of apes simply had them outnumbered ,mass of apes ,1 ,security forces ,mass of apes ,1 ,1 
security forces were not able to stop mass of apes since they did not have manpower to stop that many. ,what does they refer to? ,they refers to security forces ,they refers to mass of apes ,security forces ,0 ,security forces ,mass of apes ,1 ,1 
security forces were not able to stop mass of apes since they did not have manpower to stop that many. ,what did not have manpower to stop that many? ,security forces did not have manpower to stop that many ,mass of apes did not have manpower to stop that many ,security forces ,0 ,security forces ,mass of apes ,1 ,1 
"police tried to blockade bridge to prevent criminals from escaping, but they needed additional backup to be successful. ",what does they refer to? ,they refers to police ,they refers to criminals ,police ,0 ,police ,criminals ,1 ,1 
"police tried to blockade bridge to prevent criminals from escaping, but they needed additional backup to be successful. ",what needed additional backup to be successful? ,police needed additional backup to be successful ,criminals needed additional backup to be successful ,police ,0 ,police ,criminals ,1 ,1 
police tried to blockade bridge to prevent criminals from escaping because they needed to pass this route to gain freedom. ,what does they refer to? ,they refers to police ,they refers to criminals ,criminals ,1 ,police ,criminals ,1 ,1 
police tried to blockade bridge to prevent criminals from escaping because they needed to pass this route to gain freedom. ,what needed to pass this route to gain freedom? ,police needed to pass this route to gain freedom ,criminals needed to pass this route to gain freedom ,criminals ,1 ,police ,criminals ,1 ,1 
master sifu passes wisdom on to jack because he has much to teach him. ,what does he refer to? ,he refers to master sifu ,he refers to jack ,master sifu ,0 ,master sifu ,jack ,1 ,0 
master sifu passes wisdom on to jack because he has much to teach him. ,what has much to teach him? ,master sifu has much to teach him ,jack has much to teach him ,master sifu ,0 ,master sifu ,jack ,1 ,0 
master sifu passes wisdom on to jack so he listens very intently to what he has to say. ,what does he refer to? ,he refers to master sifu ,he refers to jack ,jack ,1 ,master sifu ,jack ,1 ,0 
master sifu passes wisdom on to jack so he listens very intently to what he has to say. ,what listens very intently to what he has to say? ,master sifu listens very intently to what he has to say ,jack listens very intently to what he has to say ,jack ,1 ,master sifu ,jack ,1 ,0 
chinese empire banished wu shu family from kingdom because they committed atrocities that could not allow. ,what does they refer to? ,they refers to chinese empire ,they refers to wu shu family ,wu shu family ,1 ,chinese empire ,wu shu family ,1 ,1 
chinese empire banished wu shu family from kingdom because they committed atrocities that could not allow. ,what committed atrocities that could not allow? ,chinese empire committed atrocities that could not allow ,wu shu family committed atrocities that could not allow ,wu shu family ,1 ,chinese empire ,wu shu family ,1 ,1 
chinese empire banished wu shu family from kingdom since they tried to avoid conflict. ,what does they refer to? ,they refers to chinese empire ,they refers to wu shu family ,chinese empire ,0 ,chinese empire ,wu shu family ,1 ,1 
chinese empire banished wu shu family from kingdom since they tried to avoid conflict. ,what tried to avoid conflict? ,chinese empire tried to avoid conflict ,wu shu family tried to avoid conflict ,chinese empire ,0 ,chinese empire ,wu shu family ,1 ,1 
deal sites that monitor stores will be active during thanksgiving weekend because they will be offering huge discount during this shopping weekend. ,what does they refer to? ,they refers to deal sites ,they refers to stores ,stores ,1 ,deal sites ,stores ,1 ,1 
deal sites that monitor stores will be active during thanksgiving weekend because they will be offering huge discount during this shopping weekend. ,what will be offering huge discount during this shopping weekend? ,deal sites will be offering huge discount during this shopping weekend ,stores will be offering huge discount during this shopping weekend ,stores ,1 ,deal sites ,stores ,1 ,1 
"deal sites that monitor stores will be active during thanksgiving weekend, but they do not necessarily guarantee you will get it first. ",what does they refer to? ,they refers to deal sites ,they refers to stores ,deal sites ,0 ,deal sites ,stores ,1 ,1 
"deal sites that monitor stores will be active during thanksgiving weekend, but they do not necessarily guarantee you will get it first. ",what do not necessarily guarantee you will get it first? ,deal sites do not necessarily guarantee you will get it first ,stores do not necessarily guarantee you will get it first ,deal sites ,0 ,deal sites ,stores ,1 ,1 
magnificent five will battle it out with shen yu's forces because they will need to end his rein of terror. ,what does they refer to? ,they refers to magnificent five ,they refers to shen yu's forces ,magnificent five ,0 ,magnificent five ,shen yu's forces ,1 ,1 
magnificent five will battle it out with shen yu's forces because they will need to end his rein of terror. ,what will need to end his rein of terror? ,magnificent five will need to end his rein of terror ,shen yu's forces will need to end his rein of terror ,magnificent five ,0 ,magnificent five ,shen yu's forces ,1 ,1 
"magnificent five will battle it out with shen yu's forces, but they may try and run away. ",what does they refer to? ,they refers to magnificent five ,they refers to shen yu's forces ,shen yu's forces ,1 ,magnificent five ,shen yu's forces ,1 ,1 
"magnificent five will battle it out with shen yu's forces, but they may try and run away. ",what may try and run away? ,magnificent five may try and run away ,shen yu's forces may try and run away ,shen yu's forces ,1 ,magnificent five ,shen yu's forces ,1 ,1 
herman cain has fallen in polls while mitt romney has increased his foothold because he is garnering more popularity among potential voters. ,what does he refer to? ,he refers to herman cain ,he refers to mitt romney ,mitt romney ,1 ,herman cain ,mitt romney ,1 ,1 
herman cain has fallen in polls while mitt romney has increased his foothold because he is garnering more popularity among potential voters. ,what is garnering more popularity among potential voters? ,herman cain is garnering more popularity among potential voters ,mitt romney is garnering more popularity among potential voters ,mitt romney ,1 ,herman cain ,mitt romney ,1 ,1 
"herman cain has fallen in polls while mitt romney has increased his foothold, but he may have a comeback in polls after next debate. ",what does he refer to? ,he refers to herman cain ,he refers to mitt romney ,herman cain ,0 ,herman cain ,mitt romney ,1 ,1 
"herman cain has fallen in polls while mitt romney has increased his foothold, but he may have a comeback in polls after next debate. ",what may have a comeback in polls after next debate? ,herman cain may have a comeback in polls after next debate ,mitt romney may have a comeback in polls after next debate ,herman cain ,0 ,herman cain ,mitt romney ,1 ,1 
"jackie chan is starting to become like chuck norris, because he is getting close to age that he retired in his career. ",what does he refer to? ,he refers to jackie chan ,he refers to chuck norris ,jackie chan ,0 ,jackie chan ,chuck norris ,1 ,1 
"jackie chan is starting to become like chuck norris, because he is getting close to age that he retired in his career. ",what is getting close to age that he retired in his career? ,jackie chan is getting close to age that he retired in his career ,chuck norris is getting close to age that he retired in his career ,jackie chan ,0 ,jackie chan ,chuck norris ,1 ,1 
jackie chan is starting to become like chuck norris since he retired at age he has now reached. ,what does he refer to? ,he refers to jackie chan ,he refers to chuck norris ,chuck norris ,1 ,jackie chan ,chuck norris ,1 ,1 
jackie chan is starting to become like chuck norris since he retired at age he has now reached. ,what retired at age he has now reached? ,jackie chan retired at age he has now reached ,chuck norris retired at age he has now reached ,chuck norris ,1 ,jackie chan ,chuck norris ,1 ,1 
some people proclaimed at ontario conventions that we need to colonize planets in near future because they think we may face extinction if aliens ever came for our resources. ,what does they refer to? ,they refers to some people ,they refers to ontario conventions ,some people ,0 ,some people ,ontario conventions ,1 ,1 
some people proclaimed at ontario conventions that we need to colonize planets in near future because they think we may face extinction if aliens ever came for our resources. ,what think we may face extinction if aliens ever came for our resources? ,some people think we may face extinction if aliens ever came for our resources ,ontario conventions think we may face extinction if aliens ever came for our resources ,some people ,0 ,some people ,ontario conventions ,1 ,1 
some people proclaimed at ontario conventions that we need to colonize planets in near future since they are places where people can voice these kinds of concerns among like minded people. ,what does they refer to? ,they refers to some people ,they refers to ontario conventions ,ontario conventions ,1 ,some people ,ontario conventions ,1 ,1 
some people proclaimed at ontario conventions that we need to colonize planets in near future since they are places where people can voice these kinds of concerns among like minded people. ,what are places where people can voice these kinds of concerns among like minded people? ,some people are places where people can voice these kinds of concerns among like minded people ,ontario conventions are places where people can voice these kinds of concerns among like minded people ,ontario conventions ,1 ,some people ,ontario conventions ,1 ,1 
