Question String,Pronoun,Split1,Split2,Option1,Option2 
"Insurance companies charge a premium if people had an accident before, so they try to maintain a clean record in order to avoid having to pay more.",they,"Insurance companies charge a premium if people had an accident before, so",they try to maintain a clean record in order to avoid having to pay more.,Insurance companies,people
"The NBA will most likely have a lockout this year due to players rejecting their latest compromise, because they wanted better terms to be presented to them.",they,"The NBA will most likely have a lockout this year due to players rejecting their latest compromise, because",they wanted better terms to be presented to them.,The NBA,players
"The NBA will most likely have a lockout this year due to players rejecting their latest compromise, but they refuse to write up a new compromise with them.",they,"The NBA will most likely have a lockout this year due to players rejecting their latest compromise, but",they refuse to write up a new compromise with them.,The NBA,players
The Drill Sergeants trained the troops aggressively so they could prepare them for the impending war.,they,The Drill Sergeants trained the troops aggressively so,they could prepare them for the impending war.,The Drill Sergeants,the troops
The Drill Sergeants trained the troops aggressively because they need to be trained well to survive in war.,they,The Drill Sergeants trained the troops aggressively because,they need to be trained well to survive in war.,The Drill Sergeants,the troops
"A series of injections are used to battle a type of cancer in patients, but they do not always provide a hundred percent success rate.",they,"A series of injections are used to battle a type of cancer in patients, but",they do not always provide a hundred percent success rate.,A series of injections,patients
A series of injections are used to battle a type of cancer in patients because they have a special type of drug which counteracts this sickness.,they,A series of injections are used to battle a type of cancer in patients because,they have a special type of drug which counteracts this sickness.,A series of injections,patients
Stark Industries produces the best technology for the military because they have a number of brilliant scientists.,they,Stark Industries produces the best technology for the military because,they have a number of brilliant scientists.,Stark Industries,the military
"Stark Industries produces the best technology for the military, but they pay top dollar to equip their forces with this.",they,"Stark Industries produces the best technology for the military, but",they pay top dollar to equip their forces with this.,Stark Industries,the military
Doctor Igor was interrogated by Colonel Marshall because he had vital information on the location of enemy forces.,he,Doctor Igor was interrogated by Colonel Marshall because,he had vital information on the location of enemy forces.,Doctor Igor,Colonel Marshall
"Doctor Igor was interrogated by Colonel Marshall, although he did not have good interrogation skills.",he,"Doctor Igor was interrogated by Colonel Marshall, although",he did not have good interrogation skills.,Doctor Igor,Colonel Marshall
New York City was grateful for the sacrifices the American Armed Forces did to save their city because they managed to divert a devastating attack.,they,New York City was grateful for the sacrifices the American Armed Forces did to save their city because,they managed to divert a devastating attack.,New York City,the American Armed Forces
New York City was grateful for the sacrifices the American Armed Forces did to save their city since they are able to enjoy another day due to their heroics.,they,New York City was grateful for the sacrifices the American Armed Forces did to save their city since,they are able to enjoy another day due to their heroics.,New York City,the American Armed Forces
Cartman wanted Kenny to go to the same school as him because he enjoyed his company.,he,Cartman wanted Kenny to go to the same school as him because,he enjoyed his company.,Cartman,Kenny
"Cartman wanted Kenny to go to the same school as him, but he refused.",he,"Cartman wanted Kenny to go to the same school as him, but",he refused.,Cartman,Kenny
The Autobots fight with every ounce of strength against the Decepticons since they wish to keep the planet safe.,they,The Autobots fight with every ounce of strength against the Decepticons since,they wish to keep the planet safe.,The Autobots,the Decepticons
"The Autobots fight with every ounce of strength against the Decepticons, but they fight back just as hard.",they,"The Autobots fight with every ounce of strength against the Decepticons, but",they fight back just as hard.,The Autobots,the Decepticons
Bumblebee was sent home with Sam Witwicky to protect him since he needed to be protected from the Decepticons.,he,Bumblebee was sent home with Sam Witwicky to protect him since,he needed to be protected from the Decepticons.,Bumblebee,Sam Witwicky
Bumblebee was sent home with Sam Witwicky to protect him so he is on watch 7 days a week.,he,Bumblebee was sent home with Sam Witwicky to protect him so,he is on watch 7 days a week.,Bumblebee,Sam Witwicky
President Obama rewarded Sam with a medal for his valorous acts because he saved the world at least twice.,he,President Obama rewarded Sam with a medal for his valorous acts because,he saved the world at least twice.,President Obama,Sam
President Obama rewarded Sam with a medal for his valorous acts since he wanted the world to know his contribution to the world.,he,President Obama rewarded Sam with a medal for his valorous acts since,he wanted the world to know his contribution to the world.,President Obama,Sam
NASA helped the Autobots to exile from the planet since they had a transport that could take them off the planet.,they,NASA helped the Autobots to exile from the planet since,they had a transport that could take them off the planet.,NASA,the Autobots
NASA helped the Autobots to exile from the planet after they were told to leave.,they,NASA helped the Autobots to exile from the planet after,they were told to leave.,NASA,the Autobots
Tech Analysts have speculated that Amazon will be releasing a phone next year since they have made a contract with vendors for phone parts.,they,Tech Analysts have speculated that Amazon will be releasing a phone next year since,they have made a contract with vendors for phone parts.,Tech Analysts,Amazon
"Tech Analysts have speculated that Amazon will be releasing a phone next year, but they are only speculating at this point.",they,"Tech Analysts have speculated that Amazon will be releasing a phone next year, but",they are only speculating at this point.,Tech Analysts,Amazon
Apple recently had to recall 1st generation IPods because they had a defect in their batteries.,they,Apple recently had to recall 1st generation IPods because,they had a defect in their batteries.,Apple,1st generation IPods
"Apple recently had to recall 1st generation IPods, but they did so six years after it was initially released.",they,"Apple recently had to recall 1st generation IPods, but",they did so six years after it was initially released.,Apple,1st generation IPods
The army organized their forces to sneak past the Decepticons in the city because they needed to use stealth to their advantage.,they,The army organized their forces to sneak past the Decepticons in the city because,they needed to use stealth to their advantage.,The army,the Decepticons
The army organized their forces to sneak past the Decepticons in the city since they have the upper hand in a straight fight.,they,The army organized their forces to sneak past the Decepticons in the city since,they have the upper hand in a straight fight.,The army,the Decepticons
Seagate recently announced to their investors that production will not go back to normal until the end of 2012 because they had their factories flooded last month.,they,Seagate recently announced to their investors that production will not go back to normal until the end of 2012 because,they had their factories flooded last month.,Seagate,their investors
"Seagate recently announced to their investors that production will not go back to normal until the end of 2012, so they may end up selling their stock.",they,"Seagate recently announced to their investors that production will not go back to normal until the end of 2012, so",they may end up selling their stock.,Seagate,their investors
"Skype has entered a partnership with Facebook, and they hope that this can help to promote their video calling.",they,"Skype has entered a partnership with Facebook, and",they hope that this can help to promote their video calling.,Skype,Facebook
"Skype has entered a partnership with Facebook, and they hope that more members join their social network.",they,"Skype has entered a partnership with Facebook, and",they hope that more members join their social network.,Skype,Facebook
Bioware recently announced a stress test to beta users this weekend since they need to see the performance of their servers.,they,Bioware recently announced a stress test to beta users this weekend since,they need to see the performance of their servers.,Bioware,beta users
Bioware recently announced a stress test to beta users this weekend so they are eagerly awaiting to play the much anticipated game.,they,Bioware recently announced a stress test to beta users this weekend so,they are eagerly awaiting to play the much anticipated game.,Bioware,beta users
U.S. Authors are fighting against Amazon's book lending program since they feel it violated their publishing rights.,they,U.S. Authors are fighting against Amazon's book lending program since,they feel it violated their publishing rights.,U.S. Authors,Amazon's book lending program
U.S. Authors are fighting against Amazon's book lending program because they allow users a free book every month.,they,U.S. Authors are fighting against Amazon's book lending program because,they allow users a free book every month.,U.S. Authors,Amazon's book lending program
Chrome is finally set to pull ahead of Firefox in November because they have increased their popularity with internet users.,they,Chrome is finally set to pull ahead of Firefox in November because,they have increased their popularity with internet users.,Chrome,Firefox
Chrome is finally set to pull ahead of Firefox in November so they are trying hard to prevent their users from switching.,they,Chrome is finally set to pull ahead of Firefox in November so,they are trying hard to prevent their users from switching.,Chrome,Firefox
"The celebrities who agreed to go to the Marine Corp dance with their dates stayed true to their word, because they felt that this was the least they could do to thank the troops.",they,"The celebrities who agreed to go to the Marine Corp dance with their dates stayed true to their word, because",they felt that this was the least they could do to thank the troops.,The celebrities,their dates
"The celebrities who agreed to go to the Marine Corp dance with their dates stayed true to their word, so they were extremely thankful that they took time out of their schedule to come.",they,"The celebrities who agreed to go to the Marine Corp dance with their dates stayed true to their word, so",they were extremely thankful that they took time out of their schedule to come.,The celebrities,their dates
The US Health inspection board shut down several food factories since they were violating many rules and regulations.,they,The US Health inspection board shut down several food factories since,they were violating many rules and regulations.,The US Health inspection board,several food factories
"The US Health inspection board shut down several food factories, but they discovered that many rules and regulations were violated.",they,"The US Health inspection board shut down several food factories, but",they discovered that many rules and regulations were violated.,The US Health inspection board,several food factories
Amazon offers a generous credit program for college books since they can be resold again to other buyers.,they,Amazon offers a generous credit program for college books since,they can be resold again to other buyers.,Amazon,college books
Amazon offers a generous credit program for college books because they want students to come back and use their credit for more purchases.,they,Amazon offers a generous credit program for college books because,they want students to come back and use their credit for more purchases.,Amazon,college books
Tiger Woods dropped Randy as his caddy because he was not satisfied with his work.,he,Tiger Woods dropped Randy as his caddy because,he was not satisfied with his work.,Tiger Woods,Randy
"Tiger Woods dropped Randy as his caddy, but he does not agree with his decision.",he,"Tiger Woods dropped Randy as his caddy, but",he does not agree with his decision.,Tiger Woods,Randy
The Dallas Cowboys lost their lead to the Redskins because they started to perform very poorly in the second half.,they,The Dallas Cowboys lost their lead to the Redskins because,they started to perform very poorly in the second half.,The Dallas Cowboys,the Redskins
The Dallas Cowboys lost their lead to the Redskins because they started to perform very well in the second half.,they,The Dallas Cowboys lost their lead to the Redskins because,they started to perform very well in the second half.,The Dallas Cowboys,the Redskins
The Disney characters at Disney World entertain the audience because they are there to keep people happy.,they,The Disney characters at Disney World entertain the audience because,they are there to keep people happy.,The Disney characters,the audience
The Disney characters at Disney World entertain the audience since they are paying good money to having an enjoyable experience.,they,The Disney characters at Disney World entertain the audience since,they are paying good money to having an enjoyable experience.,The Disney characters,the audience
"The Apes were determined to be contaminated by disease specialists, but they refused to admit their fault.",they,"The Apes were determined to be contaminated by disease specialists, but",they refused to admit their fault.,The Apes,disease specialists
"The Apes were determined to be contaminated by disease specialists, so they were forced to be released in secured captivity.",they,"The Apes were determined to be contaminated by disease specialists, so",they were forced to be released in secured captivity.,The Apes,disease specialists
Lorenze took his son to the hospital because he fell off his bike and hurt his leg.,he,Lorenze took his son to the hospital because,he fell off his bike and hurt his leg.,Lorenze,his son
Lorenze took his son to the hospital since he was concerned for his health.,he,Lorenze took his son to the hospital since,he was concerned for his health.,Lorenze,his son
Sheila made chicken noodle soup for her daughter since she knew it would help her get over her cold.,she,Sheila made chicken noodle soup for her daughter since,she knew it would help her get over her cold.,Sheila,her daughter
"Sheila made chicken noodle soup for her daughter, but she wanted cereal instead.",she,"Sheila made chicken noodle soup for her daughter, but",she wanted cereal instead.,Sheila,her daughter
Animal Control takes control of lost animals in the city so they will not pose any threats to the pedestrians.,they,Animal Control takes control of lost animals in the city so,they will not pose any threats to the pedestrians.,Animal Control,lost animals
Animal Control takes control of lost animals in the city because they are hired by the city to perform these duties.,they,Animal Control takes control of lost animals in the city because,they are hired by the city to perform these duties.,Animal Control,lost animals
Walmart is enforcing strict guidelines for customers this Black Friday because they do not want a recap of the disaster that occurred the previous year.,they,Walmart is enforcing strict guidelines for customers this Black Friday because,they do not want a recap of the disaster that occurred the previous year.,Walmart,customers
"Walmart is enforcing strict guidelines for customers this Black Friday, but they may not always follow them even if they are enforced.",they,"Walmart is enforcing strict guidelines for customers this Black Friday, but",they may not always follow them even if they are enforced.,Walmart,customers
The zookeepers make sure to feed the chimps on a daily schedule so they can remain healthy and content.,they,The zookeepers make sure to feed the chimps on a daily schedule so,they can remain healthy and content.,The zookeepers,the chimps
The zookeepers make sure to feed the chimps on a daily schedule because they are required to do so under animal cruelty regulations.,they,The zookeepers make sure to feed the chimps on a daily schedule because,they are required to do so under animal cruelty regulations.,The zookeepers,the chimps
Chase will have a cyber monday sale for credit users since they want to entice users to continue using their cards.,they,Chase will have a cyber monday sale for credit users since,they want to entice users to continue using their cards.,Chase,credit users
"Chase will have a cyber monday sale for credit users, but they may not necessarily care about the sale.",they,"Chase will have a cyber monday sale for credit users, but",they may not necessarily care about the sale.,Chase,credit users
"Caesar the ape found out the door code by watching Morris, so he was able to escape.",he,"Caesar the ape found out the door code by watching Morris, so",he was able to escape.,Caesar the ape,Morris
"Caesar the ape found out the door code by watching Morris, because he was careless when typing in the code.",he,"Caesar the ape found out the door code by watching Morris, because",he was careless when typing in the code.,Caesar the ape,Morris
The security forces were not able to stop the mass of apes because they simply had them outnumbered.,they,The security forces were not able to stop the mass of apes because,they simply had them outnumbered.,The security forces,the mass of apes
The security forces were not able to stop the mass of apes since they did not have the manpower to stop that many.,they,The security forces were not able to stop the mass of apes since,they did not have the manpower to stop that many.,The security forces,the mass of apes
"The police tried to blockade the bridge to prevent the criminals from escaping, but they needed additional backup to be successful.",they,"The police tried to blockade the bridge to prevent the criminals from escaping, but",they needed additional backup to be successful.,The police,the criminals
The police tried to blockade the bridge to prevent the criminals from escaping because they needed to pass this route to gain freedom.,they,The police tried to blockade the bridge to prevent the criminals from escaping because,they needed to pass this route to gain freedom.,The police,the criminals
Master Sifu passes wisdom on to Jack because he has much to teach him.,he,Master Sifu passes wisdom on to Jack because,he has much to teach him.,Master Sifu,Jack
Master Sifu passes wisdom on to Jack so he listens very intently to what he has to say.,he,Master Sifu passes wisdom on to Jack so,he listens very intently to what he has to say.,Master Sifu,Jack
The Chinese Empire banished the Wu Shu family from the kingdom because they committed atrocities that could not allow.,they,The Chinese Empire banished the Wu Shu family from the kingdom because,they committed atrocities that could not allow.,The Chinese Empire,the Wu Shu family
The Chinese Empire banished the Wu Shu family from the kingdom since they tried to avoid conflict.,they,The Chinese Empire banished the Wu Shu family from the kingdom since,they tried to avoid conflict.,The Chinese Empire,the Wu Shu family
Deal sites that monitor stores will be active during Thanksgiving weekend because they will be offering huge discount during this shopping weekend.,they,Deal sites that monitor stores will be active during Thanksgiving weekend because,they will be offering huge discount during this shopping weekend.,Deal sites,stores
"Deal sites that monitor stores will be active during Thanksgiving weekend, but they do not necessarily guarantee you will get it first.",they,"Deal sites that monitor stores will be active during Thanksgiving weekend, but",they do not necessarily guarantee you will get it first.,Deal sites,stores
The Magnificent Five will battle it out with Shen Yu's forces because they will need to end his rein of terror.,they,The Magnificent Five will battle it out with Shen Yu's forces because,they will need to end his rein of terror.,The Magnificent Five,Shen Yu's forces
"The Magnificent Five will battle it out with Shen Yu's forces, but they may try and run away.",they,"The Magnificent Five will battle it out with Shen Yu's forces, but",they may try and run away.,The Magnificent Five,Shen Yu's forces
Herman Cain has fallen in the polls while Mitt Romney has increased his foothold because he is garnering more popularity among potential voters.,he,Herman Cain has fallen in the polls while Mitt Romney has increased his foothold because,he is garnering more popularity among potential voters.,Herman Cain,Mitt Romney
"Herman Cain has fallen in the polls while Mitt Romney has increased his foothold, but he may have a comeback in the polls after the next debate.",he,"Herman Cain has fallen in the polls while Mitt Romney has increased his foothold, but",he may have a comeback in the polls after the next debate.,Herman Cain,Mitt Romney
"Jackie Chan is starting to become like Chuck Norris, because he is getting close to the age that he retired in his career.",he,"Jackie Chan is starting to become like Chuck Norris, because",he is getting close to the age that he retired in his career.,Jackie Chan,Chuck Norris
Jackie Chan is starting to become like Chuck Norris since he retired at the age he has now reached.,he,Jackie Chan is starting to become like Chuck Norris since,he retired at the age he has now reached.,Jackie Chan,Chuck Norris
Some people proclaimed at the Ontario conventions that we need to colonize planets in the near future because they think we may face extinction if Aliens ever came for our resources.,they,Some people proclaimed at the Ontario conventions that we need to colonize planets in the near future because,they think we may face extinction if Aliens ever came for our resources.,Some people,the Ontario conventions
Some people proclaimed at the Ontario conventions that we need to colonize planets in the near future since they are places where people can voice these kinds of concerns among like minded people.,they,Some people proclaimed at the Ontario conventions that we need to colonize planets in the near future since,they are places where people can voice these kinds of concerns among like minded people.,Some people,the Ontario conventions
Retail stores have been trying to pass an internet tax on online retailers for the past few years because they feel it would level the playing field.,they,Retail stores have been trying to pass an internet tax on online retailers for the past few years because,they feel it would level the playing field.,Retail stores,online retailers
"Retail stores have been trying to pass an internet tax on online retailers for the past few years, but they are adamant on fighting against this regulation they are trying to impose.",they,"Retail stores have been trying to pass an internet tax on online retailers for the past few years, but",they are adamant on fighting against this regulation they are trying to impose.,Retail stores,online retailers
Peacocks are considered very majestic birds by bird watchers because they are considered quite beautiful due to their vivid colors.,they,Peacocks are considered very majestic birds by bird watchers because,they are considered quite beautiful due to their vivid colors.,Peacocks,bird watchers
"Peacocks are considered very majestic birds by bird watchers, but they know it is just a perception of how they see things.",they,"Peacocks are considered very majestic birds by bird watchers, but",they know it is just a perception of how they see things.,Peacocks,bird watchers
The management always favor the employees who are always on time because they show dedication to their job.,they,The management always favor the employees who are always on time because,they show dedication to their job.,The management,the employees
"The management always favor the employees who are always on time, but they need to factor in other factors to determine their performance as well.",they,"The management always favor the employees who are always on time, but",they need to factor in other factors to determine their performance as well.,The management,the employees
Boyfriends always try to go out of their way to treat their girlfriends with respect because they are more inclined to stay with them when they are respected.,they,Boyfriends always try to go out of their way to treat their girlfriends with respect because,they are more inclined to stay with them when they are respected.,Boyfriends,their girlfriends
"Boyfriends always try to go out of their way to treat their girlfriends with respect, but they want to be treated with respect as well.",they,"Boyfriends always try to go out of their way to treat their girlfriends with respect, but",they want to be treated with respect as well.,Boyfriends,their girlfriends
Treasure hunters have to constantly fear running into bandits because they could be risking their lives if they encounter them.,they,Treasure hunters have to constantly fear running into bandits because,they could be risking their lives if they encounter them.,Treasure hunters,bandits
"Treasure hunters have to constantly fear running into bandits, even though they are rarely out to get them.",they,"Treasure hunters have to constantly fear running into bandits, even though",they are rarely out to get them.,Treasure hunters,bandits
"The pyramids are a maze which contains a great deal of treasure, but they are not always in each of them.",they,"The pyramids are a maze which contains a great deal of treasure, but",they are not always in each of them.,The pyramids,treasure
"The pyramids are a maze which contains a great deal of treasure, so they constantly attract treasure hunters exploring the depths.",they,"The pyramids are a maze which contains a great deal of treasure, so",they constantly attract treasure hunters exploring the depths.,The pyramids,treasure
"Ebay is often considered a great source by deal hunters to buy products, even though they often see misleading descriptions.",they,"Ebay is often considered a great source by deal hunters to buy products, even though",they often see misleading descriptions.,Ebay,deal hunters
"Ebay is often considered a great source by deal hunters to buy products, even though they often contain misleading descriptions.",they,"Ebay is often considered a great source by deal hunters to buy products, even though",they often contain misleading descriptions.,Ebay,deal hunters
Sharon was not able to share her supplies with Molly because she did not have enough to spare.,she,Sharon was not able to share her supplies with Molly because,she did not have enough to spare.,Sharon,Molly
"Sharon was not able to share her supplies with Molly, even though she desperately needs supplies.",she,"Sharon was not able to share her supplies with Molly, even though",she desperately needs supplies.,Sharon,Molly
Hunters excel in tracking animals because they can see the trail they leave in the forest.,they,Hunters excel in tracking animals because,they can see the trail they leave in the forest.,Hunters,animals
Hunters excel in tracking animals because they often leave some sort of mark when traveling through the forest.,they,Hunters excel in tracking animals because,they often leave some sort of mark when traveling through the forest.,Hunters,animals
Gun instructors provide the best tips and practices to keep their students safe from firearm usage since they have years of experience from handling guns in their lifetime.,they,Gun instructors provide the best tips and practices to keep their students safe from firearm usage since,they have years of experience from handling guns in their lifetime.,Gun instructors,their students
"Gun instructors provide the best tips and practices to keep their students safe from firearm usage, but they need to make sure they listen to these lessons to be safe.",they,"Gun instructors provide the best tips and practices to keep their students safe from firearm usage, but",they need to make sure they listen to these lessons to be safe.,Gun instructors,their students
Medics have a tough job of trying to heal the wounded since they normally have to fix them in hostile environments.,they,Medics have a tough job of trying to heal the wounded since,they normally have to fix them in hostile environments.,Medics,the wounded
Medics have a tough job of trying to heal the wounded because they are normally hurt in dangerous scenarios.,they,Medics have a tough job of trying to heal the wounded because,they are normally hurt in dangerous scenarios.,Medics,the wounded
Several energy companies are under investigation by Congress because they bankrupted even with government bailout money.,they,Several energy companies are under investigation by Congress because,they bankrupted even with government bailout money.,Several energy companies,Congress
Several energy companies are under investigation by Congress since they need to find out if the money was mishandled.,they,Several energy companies are under investigation by Congress since,they need to find out if the money was mishandled.,Several energy companies,Congress
"The waitress noticed that Rebecca's glass was empty, so she filled it.",she,"The waitress noticed that Rebecca's glass was empty, so",she filled it.,The waitress,Rebecca
"The waitress noticed that Rebecca's glass was empty, so she handed her the glass to fill it.",she,"The waitress noticed that Rebecca's glass was empty, so",she handed her the glass to fill it.,The waitress,Rebecca
"John shot Jack, the elephant, in my pajamas, but he did not know how it got there.",he,"John shot Jack, the elephant, in my pajamas, but",he did not know how it got there.,John,Jack
"John shot Jack, the elephant, in my pajamas, but how he got there is still a mystery.",he,"John shot Jack, the elephant, in my pajamas, but how",he got there is still a mystery.,John,Jack
"The farmer proudly revealed his favorite chicken, because he laid a golden egg.",he,"The farmer proudly revealed his favorite chicken, because",he laid a golden egg.,The farmer,his favorite chicken
"The farmer proudly revealed his favorite chicken, because he won the prize money.",he,"The farmer proudly revealed his favorite chicken, because",he won the prize money.,The farmer,his favorite chicken
"John could not understand his waiter, because he was deaf.",he,"John could not understand his waiter, because",he was deaf.,John,his waiter
"John could not understand his waiter, because he spoke Spanish.",he,"John could not understand his waiter, because",he spoke Spanish.,John,his waiter
"We gave the toys to the toddlers, because they wanted to play.",they,"We gave the toys to the toddlers, because",they wanted to play.,the toys,the toddlers
"We gave the toys to the toddlers, because they were unopened.",they,"We gave the toys to the toddlers, because",they were unopened.,the toys,the toddlers
"Darth Vader said to Luke Skywalker, ""I am your father"", because he was his father.",he,"Darth Vader said to Luke Skywalker, ""I am your father"", because",he was his father.,Darth Vader,Luke Skywalker
"Darth Vader said to Luke Skywalker, ""I am your father"", because he was his son.",he,"Darth Vader said to Luke Skywalker, ""I am your father"", because",he was his son.,Darth Vader,Luke Skywalker
"Cathy let Joanna into her car, so she could take a test drive.",she,"Cathy let Joanna into her car, so",she could take a test drive.,Cathy,Joanna
"Cathy let Joanna into her car, so she could sell the car.",she,"Cathy let Joanna into her car, so",she could sell the car.,Cathy,Joanna
"The policeman finally caught the criminal, because he used pepper spray and handcuffs.",he,"The policeman finally caught the criminal, because",he used pepper spray and handcuffs.,The policeman,the criminal
"The policeman finally caught the criminal, because he turned himself in.",he,"The policeman finally caught the criminal, because",he turned himself in.,The policeman,the criminal
"Chris was running after John, because he stole his watch.",he,"Chris was running after John, because",he stole his watch.,Chris,John
"Chris was running after John, because he wanted to talk to him.",he,"Chris was running after John, because",he wanted to talk to him.,Chris,John
"The assembly line workers were told they had been fired by the company, because they had moved the jobs overseas.",they,The assembly line workers were told,"they had been fired by the company, because they had moved the jobs overseas.",The assembly line workers,the company
"The assembly line workers were told they had been fired by the company, because they could cut costs.",they,The assembly line workers were told,"they had been fired by the company, because they could cut costs.",The assembly line workers,the company
"Ken has Adam's bike, because he gave it to him.",he,"Ken has Adam's bike, because",he gave it to him.,Ken,Adam
"Ken has Adam's bike, because he took it from him.",he,"Ken has Adam's bike, because",he took it from him.,Ken,Adam
"Jack is an optimist, and Adam is a pessimist, then he looks at the cup half full.",he,"Jack is an optimist, and Adam is a pessimist, then",he looks at the cup half full.,Jack,Adam
"Jack is an optimist, and Adam is a pessimist, then he looks at the cup half empty.",he,"Jack is an optimist, and Adam is a pessimist, then",he looks at the cup half empty.,Jack,Adam
"Amazon predicted that oldies fans would like the Queen, Led Zeppelin, Frank Sinatra, The Beatles, and the Dave Matthews Band, but they do not actually care for any of these bands.",they,"Amazon predicted that oldies fans would like the Queen, Led Zeppelin, Frank Sinatra, The Beatles, and the Dave Matthews Band, but",they do not actually care for any of these bands.,Amazon,oldies fans
"Amazon predicted that oldies fans would like the Queen, Led Zeppelin, Frank Sinatra, The Beatles, and the Dave Matthews Band, but they were totally inaccurate.",they,"Amazon predicted that oldies fans would like the Queen, Led Zeppelin, Frank Sinatra, The Beatles, and the Dave Matthews Band, but",they were totally inaccurate.,Amazon,oldies fans
"A motorboat turns the propeller pushing the water backwards, thus it moves forward.",it,"A motorboat turns the propeller pushing the water backwards, thus",it moves forward.,A motorboat,the propeller
"A motorboat turns the propeller pushing the water backwards, thus the it propells the vehicle forward.",it,"A motorboat turns the propeller pushing the water backwards, thus the",it propells the vehicle forward.,A motorboat,the propeller
"Student A beat student B, because he studied.",he,"Student A beat student B, because",he studied.,Student A,student B
"Student A beat student B, because he slacked off.",he,"Student A beat student B, because",he slacked off.,Student A,student B
"Mary asked Jim not to annoy the crazy person, as he might attack him.",he,"Mary asked Jim not to annoy the crazy person, as",he might attack him.,Jim,the crazy person
"Mary asked Jim not to annoy the crazy person, as he might be attacked.",he,"Mary asked Jim not to annoy the crazy person, as",he might be attacked.,Jim,the crazy person
"Jack pays more for the things Jim gets for nothing, because he was desperate.",he,"Jack pays more for the things Jim gets for nothing, because",he was desperate.,Jack,Jim
"Jack pays more for the things Jim gets for nothing, because he had it available.",he,"Jack pays more for the things Jim gets for nothing, because",he had it available.,Jack,Jim
"A mathematical equation is more influential than politics, because it will stand forever.",it,"A mathematical equation is more influential than politics, because",it will stand forever.,A mathematical equation,politics
"A mathematical equation is more influential than politics, because it concerns only the present.",it,"A mathematical equation is more influential than politics, because",it concerns only the present.,A mathematical equation,politics
"Policemen advocated the use of wire taps to track terrorists, because they could not catch them without those tools.",they,"Policemen advocated the use of wire taps to track terrorists, because",they could not catch them without those tools.,Policemen,terrorists
"Policemen advocated the use of wire taps to track terrorists, because they are hard to track.",they,"Policemen advocated the use of wire taps to track terrorists, because",they are hard to track.,Policemen,terrorists
"A policeman saw John Edwards commit the crime, so he was arrested.",he,"A policeman saw John Edwards commit the crime, so",he was arrested.,A policeman,John Edwards
"A policeman saw John Edwards commit the crime, so he apprehended the criminal.",he,"A policeman saw John Edwards commit the crime, so",he apprehended the criminal.,A policeman,John Edwards
"The hammer hit the bullet, so it shot.",it,"The hammer hit the bullet, so",it shot.,The hammer,the bullet
"The hammer hit the bullet, so it stopped.",it,"The hammer hit the bullet, so",it stopped.,The hammer,the bullet
"A person is more productive on an IDE than a text editor, therefore it should be used in general practice.",it,"A person is more productive on an IDE than a text editor, therefore",it should be used in general practice.,an IDE,a text editor
"A person is more productive on an IDE than a text editor, therefore it should not be used in general practice.",it,"A person is more productive on an IDE than a text editor, therefore",it should not be used in general practice.,an IDE,a text editor
"Kenny attacked Ben, and then he attacked back.",he,"Kenny attacked Ben, and then",he attacked back.,Kenny,Ben
"Kenny attacked Ben, and then he defended.",he,"Kenny attacked Ben, and then",he defended.,Kenny,Ben
"Sam hates Martha Stewart, because she committed a crime.",she,"Sam hates Martha Stewart, because",she committed a crime.,Sam,Martha Stewart
"Sam hates Martha Stewart, because she felt that she was hypocritical.",she,"Sam hates Martha Stewart, because",she felt that she was hypocritical.,Sam,Martha Stewart
"The plane shot the rocket at the target, then it hit the target.",it,"The plane shot the rocket at the target, then",it hit the target.,the rocket,the target
"The plane shot the rocket at the target, then it blew up.",it,"The plane shot the rocket at the target, then",it blew up.,the rocket,the target
"MIT accepted the students, because they had good grades.",they,"MIT accepted the students, because",they had good grades.,MIT,the students
"MIT accepted the students, because they decided that they were the best.",they,"MIT accepted the students, because",they decided that they were the best.,MIT,the students
"Obama beat John McCain, because he was the better candidate.",he,"Obama beat John McCain, because",he was the better candidate.,Obama,John McCain
"Obama beat John McCain, because he failed to win the majority of the electoral votes.",he,"Obama beat John McCain, because",he failed to win the majority of the electoral votes.,Obama,John McCain
"My brother put a Barbie that has metal parts in the microwave, so it melted.",it,"My brother put a Barbie that has metal parts in the microwave, so",it melted.,a Barbie,the microwave
"My brother put a Barbie that has metal parts in the microwave, so it does not work anymore.",it,"My brother put a Barbie that has metal parts in the microwave, so",it does not work anymore.,a Barbie,the microwave
"Jack the ripper killed John, but he was not caught yet.",he,"Jack the ripper killed John, but",he was not caught yet.,Jack,John
"Jack killed John, but he was not the only victim.",he,"Jack killed John, but",he was not the only victim.,Jack,John
"Charles Dickinson shot at Andrew Jackson, so he started reloading.",he,"Charles Dickinson shot at Andrew Jackson, so",he started reloading.,Charles Dickinson,Andrew Jackson
"Charles Dickinson shot at Andrew Jackson, so he retaliated likewise.",he,"Charles Dickinson shot at Andrew Jackson, so",he retaliated likewise.,Charles Dickinson,Andrew Jackson
"Jim taught John rhetoric to become a lawyer, but he did not pay him.",he,"Jim taught John rhetoric to become a lawyer, but",he did not pay him.,Jim,John
"Jim taught John rhetoric to become a lawyer, but he did not get paid.",he,"Jim taught John rhetoric to become a lawyer, but",he did not get paid.,Jim,John
"Ann helped Kim with her cooking skills, because she was unable to make rice.",she,"Ann helped Kim with her cooking skills, because",she was unable to make rice.,Ann,Kim
