Knowledge Base,Question,Option 1,Option 2,Actual Answer,Bit Representation,Opt1,Opt2,Opt1Gender,Opt2Gender
jane gave joan candy because she was hungry. ,what does she refer to? ,she refers to jane ,she refers to joan ,joan ,1 ,jane ,joan ,1 ,1 
jane gave joan candy because she was hungry. ,what was hungry.? ,jane was hungry. ,joan was hungry. ,joan ,1 ,jane ,joan ,1 ,1 
"i tried to paint a picture of an orchard, with lemons in lemon trees, but they came out looking more like light bulbs. ",what does they refer to? ,they refers to lemons ,they refers to lemon trees ,lemons ,0 ,lemons ,lemon trees ,1 ,1 
"i tried to paint a picture of an orchard, with lemons in lemon trees, but they came out looking more like light bulbs. ",what came out? ,lemons came out ,lemon trees came out ,lemons ,0 ,lemons ,lemon trees ,1 ,1 
"i tried to paint a picture of an orchard, with lemons in lemon trees, but they came out looking more like telephone poles. ",what does they refer to? ,they refers to lemons ,they refers to lemon trees ,lemon trees ,1 ,lemons ,lemon trees ,1 ,1 
"i tried to paint a picture of an orchard, with lemons in lemon trees, but they came out looking more like telephone poles. ",what came out? ,lemons came out ,lemon trees came out ,lemon trees ,1 ,lemons ,lemon trees ,1 ,1 
james asked robert for a favor but he was refused. ,what does he refer to? ,he refers to james ,he refers to robert ,james ,0 ,james ,robert ,0 ,0 
james asked robert for a favor but he was refused. ,what was refused.? ,james was refused. ,robert was refused. ,james ,0 ,james ,robert ,0 ,0 
james asked robert for a favor but he refused. ,what does he refer to? ,he refers to james ,he refers to robert ,robert ,1 ,james ,robert ,0 ,0 
james asked robert for a favor but he refused. ,what refused.? ,james refused. ,robert refused. ,robert ,1 ,james ,robert ,0 ,0 
kirilov ceded presidency to shatov because he was less popular. ,what does he refer to? ,he refers to kirilov ,he refers to shatov ,kirilov ,0 ,kirilov ,shatov ,1 ,1 
kirilov ceded presidency to shatov because he was less popular. ,what was less popular.? ,kirilov was less popular. ,shatov was less popular. ,kirilov ,0 ,kirilov ,shatov ,1 ,1 
kirilov ceded presidency to shatov because he was more popular. ,what does he refer to? ,he refers to kirilov ,he refers to shatov ,shatov ,1 ,kirilov ,shatov ,1 ,1 
kirilov ceded presidency to shatov because he was more popular. ,what was more popular.? ,kirilov was more popular. ,shatov was more popular. ,shatov ,1 ,kirilov ,shatov ,1 ,1 
emma did not pass ball to janie although she saw that she was open. ,what does she refer to? ,she refers to emma ,she refers to janie ,emma ,0 ,emma ,janie ,1 ,1 
emma did not pass ball to janie although she saw that she was open. ,what saw? ,emma saw ,janie saw ,emma ,0 ,emma ,janie ,1 ,1 
emma did not pass ball to janie although she was open. ,what does she refer to? ,she refers to emma ,she refers to janie ,janie ,1 ,emma ,janie ,1 ,1 
emma did not pass ball to janie although she was open. ,what was open? ,emma was open ,janie was open ,janie ,1 ,emma ,janie ,1 ,1 
i put butterfly wing on table and it broke. ,what does it refer to? ,it refers to butterfly wing ,it refers to table ,butterfly wing ,0 ,butterfly wing ,table ,1 ,1 
i put butterfly wing on table and it broke. ,what broke.? ,butterfly wing broke. ,table broke. ,butterfly wing ,0 ,butterfly wing ,table ,1 ,1 
i put heavy book on table and it broke. ,what does it refer to? ,it refers to heavy book ,it refers to table ,table ,1 ,heavy book ,table ,1 ,1 
i put heavy book on table and it broke. ,what broke.? ,heavy book broke. ,table broke. ,table ,1 ,heavy book ,table ,1 ,1 
madonna fired her trainer because she couldn't stand her boyfriend. ,what does she refer to? ,she refers to madonna ,she refers to trainer ,madonna ,0 ,madonna ,trainer ,1 ,1 
madonna fired her trainer because she couldn't stand her boyfriend. ,what couldn't stand? ,madonna couldn't stand ,trainer couldn't stand ,madonna ,0 ,madonna ,trainer ,1 ,1 
madonna fired her trainer because she slept with her boyfriend. ,what does she refer to? ,she refers to madonna ,she refers to trainer ,trainer ,1 ,madonna ,trainer ,1 ,1 
madonna fired her trainer because she slept with her boyfriend. ,what slept? ,madonna slept ,trainer slept ,trainer ,1 ,madonna ,trainer ,1 ,1 
madonna fired her trainer because she slept with her boyfriend. ,what does her refer to? ,her refers to madonna ,her refers to trainer ,madonna ,0 ,madonna ,trainer ,1 ,1 
madonna fired her trainer because she slept with her boyfriend. ,what boyfriend? ,madonna boyfriend ,trainer boyfriend ,madonna ,0 ,madonna ,trainer ,1 ,1 
madonna fired her trainer because she couldn't stand her boyfriend. ,what does her refer to? ,her refers to madonna ,her refers to trainer ,trainer ,1 ,madonna ,trainer ,1 ,1 
madonna fired her trainer because she couldn't stand her boyfriend. ,what boyfriend? ,madonna boyfriend ,trainer boyfriend ,trainer ,1 ,madonna ,trainer ,1 ,1 
carol believed that rebecca suspected that she had stolen watch. ,what does she refer to? ,she refers to carol ,she refers to rebecca ,carol ,0 ,carol ,rebecca ,1 ,1 
carol believed that rebecca suspected that she had stolen watch. ,what had stolen watch.? ,carol had stolen watch. ,rebecca had stolen watch. ,carol ,0 ,carol ,rebecca ,1 ,1 
carol believed that rebecca regretted that she had stolen watch. ,what does she refer to? ,she refers to carol ,she refers to rebecca ,rebecca ,1 ,carol ,rebecca ,1 ,1 
carol believed that rebecca regretted that she had stolen watch. ,what had stolen watch.? ,carol had stolen watch. ,rebecca had stolen watch. ,rebecca ,1 ,carol ,rebecca ,1 ,1 
this book introduced shakespeare to ovid; it was a major influence on his writing. ,what does his refer to? ,his refers to shakespeare ,his refers to ovid ,shakespeare ,0 ,shakespeare ,ovid ,1 ,1 
this book introduced shakespeare to ovid; it was a major influence on his writing. ,what writing.? ,shakespeare writing. ,ovid writing. ,shakespeare ,0 ,shakespeare ,ovid ,1 ,1 
this book introduced shakespeare to goethe; it was a major influence on his writing. ,what does his refer to? ,his refers to shakespeare ,his refers to goethe ,goethe ,1 ,shakespeare ,goethe ,1 ,1 
this book introduced shakespeare to goethe; it was a major influence on his writing. ,what writing.? ,shakespeare writing. ,goethe writing. ,goethe ,1 ,shakespeare ,goethe ,1 ,1 
this book introduced shakespeare to ovid; it was a fine selection of his writing. ,what does his refer to? ,his refers to shakespeare ,his refers to ovid ,ovid ,1 ,shakespeare ,ovid ,1 ,1 
this book introduced shakespeare to ovid; it was a fine selection of his writing. ,what writing.? ,shakespeare writing. ,ovid writing. ,ovid ,1 ,shakespeare ,ovid ,1 ,1 
this book introduced shakespeare to goethe; it was a fine selection of his writing. ,what does his refer to? ,his refers to shakespeare ,his refers to goethe ,shakespeare ,0 ,shakespeare ,goethe ,1 ,1 
this book introduced shakespeare to goethe; it was a fine selection of his writing. ,what writing.? ,shakespeare writing. ,goethe writing. ,shakespeare ,0 ,shakespeare ,goethe ,1 ,1 
"alice looked for her friend jade in crowd. since she always has good luck, alice spotted her quickly. ",what does she refer to? ,she refers to alice ,she refers to jade ,alice ,0 ,alice ,jade ,1 ,1 
"alice looked for her friend jade in crowd. since she always has good luck, alice spotted her quickly. ",what always has good luck? ,alice always has good luck ,jade always has good luck ,alice ,0 ,alice ,jade ,1 ,1 
"alice looked for her friend jade in crowd. since she always wears a red turban, alice spotted her quickly. ",what does she refer to? ,she refers to alice ,she refers to jade ,jade ,1 ,alice ,jade ,1 ,1 
"alice looked for her friend jade in crowd. since she always wears a red turban, alice spotted her quickly. ",what always wears a red turban? ,alice always wears a red turban ,jade always wears a red turban ,jade ,1 ,alice ,jade ,1 ,1 
"during a game of tag, ethan chased luke because he was ""it"". ",what does it refer to? ,it refers to ethan ,it refers to luke ,ethan ,0 ,ethan ,luke ,0 ,0 
"during a game of tag, ethan chased luke because he was ""it"". ","what was ""it"".? ","ethan was ""it"". ","luke was ""it"". ",ethan ,0 ,ethan ,luke ,0 ,0 
"during a game of tag, ethan ran from luke because he was ""it"". ",what does it refer to? ,it refers to ethan ,it refers to luke ,luke ,1 ,ethan ,luke ,0 ,0 
"during a game of tag, ethan ran from luke because he was ""it"". ","what was ""it"".? ","ethan was ""it"". ","luke was ""it"". ",luke ,1 ,ethan ,luke ,0 ,0 
at loebner competition judges couldn't figure out which respondents were chatbots because they were so stupid. ,what does they refer to? ,they refers to judges ,they refers to chatbots ,judges ,0 ,judges ,chatbots ,1 ,1 
at loebner competition judges couldn't figure out which respondents were chatbots because they were so stupid. ,what were so stupid.? ,judges were so stupid. ,chatbots were so stupid. ,judges ,0 ,judges ,chatbots ,1 ,1 
at loebner competition judges couldn't figure out which respondents were chatbots because they were so advanced. ,what does they refer to? ,they refers to judges ,they refers to chatbots ,chatbots ,1 ,judges ,chatbots ,1 ,1 
at loebner competition judges couldn't figure out which respondents were chatbots because they were so advanced. ,what were so advanced.? ,judges were so advanced. ,chatbots were so advanced. ,chatbots ,1 ,judges ,chatbots ,1 ,1 
"user changed his password from ""grwqwu8jyc"" toã‚ ""willow-towered canopy huntertropic wrestles"" as it was easy to forget. ",what does it refer to? ,it refers to grwqwu8jyc ,it refers to willow-towered canopy huntertropic wrestles ,grwqwu8jyc ,0 ,grwqwu8jyc ,willow-towered canopy huntertropic wrestles ,1 ,1 
"user changed his password from ""grwqwu8jyc"" toã‚ ""willow-towered canopy huntertropic wrestles"" as it was easy to forget. ",what was easy to forget.? ,grwqwu8jyc was easy to forget. ,willow-towered canopy huntertropic wrestles was easy to forget. ,grwqwu8jyc ,0 ,grwqwu8jyc ,willow-towered canopy huntertropic wrestles ,1 ,1 
